"id","size","vocal","walktime","shed","strength","drool","affection","intelligence","social","age","percentgooddog"
1,77,23,25,25,47,1.9,74,42,43,14,150
2,66,17,35,18,53,1.1,81,65,93,10,150
3,32,14,75,59,70,1.1,61,76,76,3,150
4,14,85,15,61,14,0.4,17,20,9,NA,150
5,91,44,80,84,80,4.1,NA,53,52,8,150
6,61,18,40,17,61,1.2,77,53,89,10,150
7,35,80,45,38,51,3.4,50,34,90,13,150
8,32,71,40,50,43,3.1,39,24,73,15,150
9,67,34,20,9,52,1.9,76,53,52,13,150
10,23,77,20,66,17,0.4,22,14,15,9,150
11,30,NA,35,57,47,3.2,39,29,80,14,150
12,95,55,65,76,78,3.9,63,55,53,9,150
13,87,46,45,79,70,4.1,60,NA,49,10,150
14,91,23,20,18,52,2.8,84,62,51,14,150
15,34,NA,65,39,75,1,51,73,81,4,150
16,71,27,20,17,47,2.2,81,42,38,14,150
17,61,21,35,18,47,1,80,44,71,12,150
18,60,32,20,15,51,1.8,77,42,37,13,150
19,73,19,45,13,37,1.1,78,40,80,9,150
20,83,33,25,20,49,2,74,54,60,12,150
21,77,36,20,18,51,1.9,87,55,52,13,150
22,48,9,80,50,75,1.1,51,82,80,NA,150
23,44,8,90,55,80,1,61,82,80,5,150
24,87,59,700,70,77,4.4,57,59,57,10,150
25,28,81,20,74,19,0.5,22,24,21,11,150
26,67,38,25,16,46,2.1,76,48,53,13,150
27,32,85,20,71,21,0.5,18,17,21,5,150
28,76,24,20,14,46,2.5,76,46,44,15,150
29,78,55,55,79,70,3.6,47,51,52,7,150
30,23,12,80,59,56,1.1,50,74,68,9,150
31,56,24,35,16,49,1,78,45,80,9,150
32,73,17,50,19,64,1,74,51,90,3,150
33,63,21,40,22,51,1.1,76,52,78,7,150
34,69,21,40,14,48,1.1,81,53,79,14,150
35,700,34,20,13,41,1.4,77,59,61,12,150
36,55,23,55,17,52,0.9,78,55,93,6,150
37,87,55,55,79,81,3.8,54,49,46,9,150
38,40,23,400,21,52,1.1,71,44,76,5,150
39,37,28,40,11,38,1,86,52,60,NA,150
40,25,76,20,66,20,0.5,21,18,12,7,150
41,48,70,45,58,52,3,NA,29,81,13,150
42,81,24,20,20,57,2,79,40,51,12,150
43,81,47,50,70,77,4,54,47,48,11,150
44,62,3,75,65,83,1,64,81,86,8,150
45,66,24,35,17,56,1.1,NA,54,82,9,150
46,48,24,30,18,39,1,85,47,75,14,150
47,49,64,50,61,46,2.2,34,21,78,12,150
48,41,9,75,50,66,1.1,56,79,83,10,150
49,47,19,55,11,56,0.9,82,49,72,6,150
50,64,18,40,19,54,1.1,75,52,81,10,150
51,89,50,65,81,81,4,66,49,51,8,150
52,50,20,350,15,45,1.1,78,45,87,9,150
53,91,57,45,73,77,3.8,61,56,58,9,150
54,62,24,35,11,59,1,80,50,91,5,150
55,85,31,20,18,56,2.1,81,57,58,13,150
56,31,80,20,64,24,0.5,22,22,22,8,150
57,72,20,45,21,56,1,73,58,86,7,150
58,24,10,70,39,69,0.7,56,77,87,5,150
59,89,52,65,70,NA,4.9,69,52,56,8,150
60,26,79,20,70,20,0.4,17,26,26,10,150
61,53,21,30,17,296,1,78,44,74,13,150
62,20,NA,20,76,20,0.5,22,22,18,6,150
63,59,46,15,15,37,1.3,80,48,53,13,150
64,35,9,85,55,71,1.1,59,83,79,7,150
65,85,56,65,88,76,4.5,58,42,46,8,150
66,25,83,20,66,16,0.5,19,9,NA,10,150
67,77,48,45,83,94,3.5,58,43,51,6,150
68,82,55,60,88,79,3.6,59,52,55,7,150
69,65,36,20,9,45,1.9,NA,56,40,13,150
70,79,50,NA,73,62,NA,59,36,39,12,150
71,44,62,35,50,55,3.9,44,29,82,14,150
72,71,22,50,16,53,1,74,56,86,5,150
73,115,45,75,NA,85,4.6,65,55,57,9,150
74,66,12,85,45,76,1.2,NA,NA,84,6,150
75,64,38,20,17,44,1.6,79,49,62,14,150
76,69,18,50,19,49,1.1,NA,58,90,8,150
77,42,42,20,19,41,1.8,80,50,37,12,150
78,71,23,40,17,37,0.9,96,62,88,10,150
79,77,NA,20,8,45,1.7,80,57,64,14,150
80,31,68,35,51,48,3.7,41,34,77,14,150
81,30,81,35,58,44,2.7,42,23,73,13,150
82,51,8,50,53,76,0.9,68,85,80,8,150
83,62,21,40,NA,56,0.9,77,56,95,4,150
84,58,20,400,14,46,1,75,33,73,9,150
85,66,22,50,13,62,0.9,71,42,83,NA,150
86,61,36,20,13,48,1.7,77,43,41,13,150
87,80,32,15,23,45,1.8,80,48,48,15,150
88,92,51,65,83,93,4.5,64,59,56,9,150
89,66,22,15,17,57,2.2,78,44,44,13,150
90,69,35,20,16,34,1.6,77,42,45,15,150
91,97,40,70,78,83,4.3,57,51,57,9,150
92,61,14,40,17,51,1.2,NA,47,78,9,150
93,48,74,45,64,47,3.4,43,45,84,13,150
94,13,80,20,66,18,0.5,11,10,14,8,150
95,63,31,15,15,39,2,82,34,42,14,150
96,68,34,20,11,40,2,76,47,51,12,150
97,98,48,55,82,89,4.9,49,52,62,6,150
98,20,84,15,40,14,0.5,22,13,21,10,150
99,27,85,20,70,15,0.5,24,19,20,9,150
100,98,45,50,76,76,3.7,60,41,40,9,150
101,520,12,400,11,55,1,78,57,74,8,150
102,63,31,20,11,44,1.6,80,50,54,13,150
103,NA,52,65,84,76,4.5,60,58,NA,11,150
104,48,24,45,14,NA,1,80,54,76,9,150
105,76,35,20,13,48,1.9,79,49,48,13,150
106,57,23,20,13,42,2.1,75,39,48,14,150
107,37,67,40,71,54,2.9,39,33,75,14,150
108,76,54,50,78,75,3.9,66,50,37,11,150
109,57,41,20,15,40,1.4,78,47,50,15,150
110,35,9,95,42,75,1,65,89,76,11,150
111,32,77,20,79,20,0.5,21,22,25,7,150
112,19,78,20,62,22,0.4,27,25,24,7,150
113,51,21,35,12,56,1.1,77,43,80,7,150
114,101,50,55,82,89,3.7,NA,41,49,6,150
115,79,55,65,71,85,4.3,62,56,47,7,150
116,51,5,80,53,96,0.9,60,77,NA,4,150
117,48,25,350,8,44,0.8,77,45,70,7,150
118,77,39,20,15,37,2.2,80,55,48,13,150
119,89,53,55,76,74,4,65,54,60,4,150
120,82,30,20,15,61,2.6,81,37,50,13,150
121,60,38,20,18,50,1.5,75,46,55,12,150
122,44,65,40,62,54,3.1,48,40,80,14,150
123,40,11,85,54,84,0.9,55,88,89,3,150
124,47,24,40,9,43,0.9,73,39,81,4,150
125,24,86,20,75,16,0.5,NA,15,15,10,150
126,77,37,25,16,NA,1.8,80,62,47,12,150
127,60,32,25,11,45,2.2,85,48,57,13,150
128,30,NA,65,55,72,0.9,48,70,80,5,150
129,44,72,45,49,50,2.9,39,39,75,14,150
130,24,83,15,61,26,0.5,24,16,18,9,150
131,88,39,20,21,400,2,82,70,55,14,150
132,45,12,85,46,77,1,67,88,84,6,150
133,40,77,35,45,48,2.7,28,26,82,13,150
134,38,30,35,18,32,0.9,NA,50,77,5,150
135,87,22,20,14,69,2.2,81,43,55,12,150
136,29,73,40,42,42,3.3,49,33,69,15,150
137,82,32,20,18,48,2.1,75,50,40,13,150
138,31,80,15,86,19,0.5,18,11,16,8,150
139,25,75,35,43,44,2.9,39,29,73,13,150
140,43,24,25,14,48,1.1,NA,44,69,8,150
141,86,27,20,20,47,2.2,83,54,55,14,150
142,92,32,25,14,57,2.3,86,54,36,14,150
143,89,44,55,77,82,4.2,52,41,48,9,150
144,34,12,80,41,87,0.8,49,76,77,3,150
145,78,25,15,13,47,2.1,80,46,37,16,150
146,60,12,55,14,50,1,79,48,81,6,150
147,52,35,15,17,55,1.7,75,45,49,13,150
148,79,25,20,5,60,2.1,73,52,64,14,150
149,70,43,55,58,87,4.2,64,44,51,9,150
150,70,NA,20,15,38,2.1,79,40,42,14,150
151,71,35,20,11,58,1.7,90,60,56,14,150
152,77,46,40,74,83,4,65,44,41,11,150
153,36,11,70,43,75,1,57,80,83,7,150
154,58,20,30,12,63,1,76,51,88,2,150
155,37,78,20,85,21,0.4,21,22,26,6,150
156,77,24,20,15,62,2.2,74,41,40,13,150
157,76,37,25,11,60,1.9,152,42,34,14,150
158,70,19,45,22,56,1,77,57,80,10,150
159,53,16,NA,14,64,1.1,80,55,72,9,150
160,62,NA,45,18,45,1,77,41,68,9,150
161,97,456,45,81,81,3.8,68,49,49,12,150
162,70,37,20,14,59,2,NA,54,54,12,150
163,43,64,35,54,55,2.3,36,28,87,13,150
164,23,80,20,65,16,0.3,21,10,17,10,150
165,37,78,20,82,20,0.5,20,20,17,8,150
166,45,9,85,59,63,1,143,78,68,10,150
167,72,22,60,14,45,1,87,72,93,9,150
168,35,77,15,67,24,0.5,95,17,20,10,150
169,63,20,40,17,46,0.9,81,52,80,12,150
170,98,48,70,91,88,4.6,64,48,45,11,150
171,51,57,45,54,55,2.7,32,24,86,13,150
172,97,26,20,19,46,2.2,83,49,56,14,150
173,37,80,20,80,20,0.5,18,27,21,9,150
174,74,63,60,62,76,3.9,62,58,55,9,150
175,88,34,20,21,47,1.8,85,56,56,14,150
176,29,74,15,73,20,0.6,25,19,21,13,150
177,36,78,20,85,20,0.5,17,15,20,10,150
178,77,31,15,22,52,2.4,76,38,50,15,150
179,63,26,40,13,38,0.9,80,60,86,10,150
180,40,74,20,77,18,0.6,18,19,25,4,150
181,99,51,65,83,85,4.5,70,47,61,10,150
182,40,10,60,48,61,0.9,57,76,82,8,150
183,59,20,55,17,51,1,79,52,76,7,150
184,56,32,40,11,50,1,81,54,95,7,150
185,69,36,20,14,67,1.4,78,50,50,12,150
186,25,78,20,68,18,NA,20,18,25,9,150
187,66,29,20,15,440,1.8,85,50,49,13,150
188,29,84,40,35,52,2.1,42,37,74,13,150
189,50,21,55,14,46,1,NA,58,78,9,150
190,86,27,25,13,57,1.8,76,57,53,12,150
191,34,9,70,49,80,0.9,72,83,81,5,150
192,47,NA,80,46,79,0.9,56,82,82,4,150
193,38,72,20,NA,NA,0.5,19,19,20,NA,150
194,75,28,15,22,41,2.5,76,46,49,14,150
195,34,5,70,53,69,1,68,74,68,9,150
196,45,9,85,NA,88,1,45,75,77,6,150
197,26,81,40,47,53,3.3,38,22,64,13,150
198,39,22,35,9,49,0.9,78,43,62,12,150
199,63,35,20,NA,43,2.4,77,39,43,13,150
200,48,21,40,15,49,0.8,74,49,75,6,150
201,55,11,85,55,72,1,75,91,76,5,150
202,44,13,95,51,67,1,61,83,80,8,150
203,59,22,30,11,50,1.1,82,55,77,11,150
204,89,20,25,24,NA,2.5,78,43,45,14,150
205,48,62,35,60,51,3.1,36,23,82,14,150
206,106,44,70,90,79,5,NA,61,61,10,150
207,42,NA,50,47,60,3,41,40,93,12,150
208,109,43,55,71,73,4.3,75,62,53,11,150
209,61,24,35,16,45,1,82,49,77,13,150
210,92,34,60,72,85,3.8,46,50,58,9,150
211,35,71,45,40,49,3.5,49,35,88,14,150
212,91,42,60,82,85,3.6,70,46,57,9,150
213,49,12,95,37,632,0.9,53,84,82,3,150
214,86,23,15,18,54,2.1,80,45,42,14,150
215,98,32,20,22,51,2.1,77,54,47,NA,150
216,84,21,20,12,NA,1.6,75,36,48,12,150
217,39,71,45,46,48,3,46,35,79,14,150
218,99,46,75,75,92,4.5,69,54,48,10,150
219,89,31,20,NA,51,2.3,73,49,49,14,150
220,91,52,45,82,79,4.4,57,51,58,9,150
221,64,15,55,16,58,1,84,49,94,8,150
222,71,18,30,18,58,1.2,80,56,74,12,150
223,41,5,85,41,71,1,55,73,69,7,150
224,63,27,15,7,56,1.8,78,37,50,12,150
