"id","age","npeople","work","activity","bedrooms","gardensize"
470,21,2,"full time",90,2,11
577,28,2,"full time",120,2,10
629,26,2,"full time",105,2,11
910,23,2,"full time",115,2,8
337,53,3,"part time",100,5,17.5
162,69,3,"part time",65,5,21.5
946,50,2,"part time",40,5,14
456,37,4,"full time",65,4,7.5
763,73,2,"unemployed/retired",40,3,9.5
1053,74,1,"unemployed/retired",50,2,9.5
810,75,1,"unemployed/retired",45,2,9
851,54,3,"unemployed/retired",55,6,18.5
857,45,2,"full time",65,4,12.5
686,42,2,"part time",60,4,15.5
467,73,1,"unemployed/retired",50,2,8.5
548,47,2,"part time",55,4,14.5
362,45,2,"part time",NA,3,11.5
691,75,1,"unemployed/retired",40,2,9.5
1044,66,2,"unemployed/retired",50,2,14
365,47,2,"part time",75,4,18
77,74,2,"unemployed/retired",55,2,13.5
556,80,1,"unemployed/retired",40,2,11.5
361,24,2,"full time",105,2,9
164,76,1,"unemployed/retired",35,3,8.5
8,25,2,"full time",80,2,9.5
29,65,2,"unemployed/retired",55,2,15
712,34,4,"part time",65,3,7.5
385,73,1,"unemployed/retired",50,3,8.5
127,32,4,"full time",70,3,8
774,67,2,"unemployed/retired",45,2,11
258,35,4,"part time",75,3,9
320,56,3,"unemployed/retired",100,6,27
376,33,4,"part time",80,3,7.5
957,81,1,"unemployed/retired",55,2,10
144,73,1,"unemployed/retired",40,3,10
681,131,2,"unemployed/retired",60,2,15
870,36,4,"part time",65,4,9
635,24,2,"full time",75,1,11.5
303,44,3,"unemployed/retired",110,5,22.5
592,NA,2,"full time",90,2,8
221,81,2,"unemployed/retired",65,3,12.5
866,26,2,"full time",80,2,8.5
374,79,1,"unemployed/retired",45,2,10
875,56,3,"unemployed/retired",90,5,26
163,35,4,"full time",75,3,9
883,63,2,"unemployed/retired",50,2,11
693,59,2,"unemployed/retired",55,2,11
949,27,2,"full time",90,2,10
410,25,2,"full time",90,2,10
81,30,4,"full time",75,3,8.5
951,59,2,"unemployed/retired",60,3,10.5
66,77,1,"unemployed/retired",50,2,10
260,47,2,"part time",85,4,22
755,48,2,"part time",65,5,16.5
687,68,1,"unemployed/retired",60,2,10
624,36,4,"part time",70,3,10
1089,69,1,NA,35,2,7.5
1075,46,2,"full time",60,3,13
627,72,1,"unemployed/retired",45,1,10.5
69,58,3,"part time",85,5,28
433,45,2,"full time",60,4,NA
740,40,4,"part time",80,4,10
733,64,10,"unemployed/retired",40,2,10
1037,27,2,"full time",7000,2,9.5
845,49,2,"part time",65,5,18.5
332,35,4,"full time",60,3,8
418,79,1,"unemployed/retired",40,2,9.5
110,27,4,"full time",65,3,9.5
534,34,4,"part time",80,3,8.5
860,47,2,"full time",60,5,12.5
115,27,2,"full time",95,3,11.5
178,33,5,"part time",65,3,9
1081,29,2,"full time",75,3,12.5
689,44,2,"full time",50,4,13.5
95,69,1,"unemployed/retired",50,2,8
572,26,2,"full time",110,2,10
383,24,2,"full time",85,2,7.5
